"Geneid" "Allel" "Tissue" "Value" "k_value"
"277" "Ntsc3894" "BA" "veg" -0.2 -0.256723876473672
"278" "Ntsc3894" "BA" "sex" 0.2 -0.727801492697522
"279" "Ntsc3894" "sa" "veg" -0.8 -0.946817309317995
"280" "Ntsc3894" "sa" "sex" -0.632455532033676 -1.4519268015007
"281" "Ntsc3893" "BA" "veg" 0.9 5.6048050727841
"282" "Ntsc3893" "BA" "sex" 0.974679434480896 4.2811170687569
"283" "Ntsc3893" "sa" "veg" 0.4 1.30619718595317
"284" "Ntsc3893" "sa" "sex" 0.359092423229804 2.84789729815922
"285" "Ntsc3892" "BA" "veg" -0.2 -14.3493751172864
"286" "Ntsc3892" "BA" "sex" -0.5 -4.8520094422021
"287" "Ntsc3892" "sa" "veg" 0.1 -4.10674941418058
"288" "Ntsc3892" "sa" "sex" -0.1 -2.42691789073554
"289" "Ntsc1425" "BA" "veg" 0.1 1.69544792217047
"290" "Ntsc1425" "BA" "sex" -0.3 -11.514958076474
"291" "Ntsc1425" "sa" "veg" 1 6.54215430757144
"292" "Ntsc1425" "sa" "sex" -0.2 3.19028610110665
"293" "Ntsc3891" "BA" "veg" 0.410391340834062 6.97118137643738
"294" "Ntsc3891" "BA" "sex" 0.1 10.7698464300815
"295" "Ntsc3891" "sa" "veg" 0.8 14.1184817849902
"296" "Ntsc3891" "sa" "sex" 0.3 4.65907160433407
"297" "Ntsc1424" "BA" "veg" -0.1 -5.79419912933134
"298" "Ntsc1424" "BA" "sex" 0.205195670417031 -1.63793222667113
"299" "Ntsc1424" "sa" "veg" -0.820782681668123 -13.5679415335203
"300" "Ntsc1424" "sa" "sex" 0.205195670417031 -14.7441385023706
"301" "Ntsc3890" "BA" "veg" 0.718184846459608 -0.0120613295054161
"302" "Ntsc3890" "BA" "sex" -0.670820393249937 -0.389178204684021
"303" "Ntsc3890" "sa" "veg" -0.2 -0.345210250592686
"304" "Ntsc3890" "sa" "sex" -0.6 -0.120422944409132
"305" "Ntsc3888" "BA" "veg" -0.564288093646835 -13.92327703438
"306" "Ntsc3888" "BA" "sex" 0.461690258438319 13.8473468786952
"307" "Ntsc3888" "sa" "veg" 0.872081599272381 60.5778531236789
"308" "Ntsc3888" "sa" "sex" 0.4 11.0268412976833
"309" "Ntsc3887" "BA" "veg" 0.564288093646835 7.11502163148545
"310" "Ntsc3887" "BA" "sex" -0.4 -2.67574451983695
"311" "Ntsc3887" "sa" "veg" 0.4 2.6056635025792
"312" "Ntsc3887" "sa" "sex" 0.461690258438319 2.16467189368635
"313" "Ntsc3889" "BA" "veg" 0.4 6.23005074421582
"314" "Ntsc3889" "BA" "sex" -0.66688592885535 -8.48984442134606
"315" "Ntsc3889" "sa" "veg" -0.0512989176042577 0.786920137336265
