"Geneid" "Tissue" "Value" "k_value"
"2072" "Ntsc3178" "sex" 0.0261762678690814 0.473264516335864
"2073" "Ntsc3177" "veg" -0.522248682593825 -4.62271110078186
"2074" "Ntsc3177" "sex" -0.716603187222821 -4.89409950423979
"2075" "Ntsc3176" "veg" -0.0778168862318437 -1.79615019148375
"2076" "Ntsc3176" "sex" -0.0231154696329807 -0.353840112054135
"2077" "Ntsc3165" "veg" -0.106128280648471 -1.65915140051192
"2078" "Ntsc3165" "sex" -0.422464117372454 -3.62917159995279
"2079" "Ntsc3183" "veg" -0.063458549723261 -0.635023080832548
"2080" "Ntsc3183" "sex" -0.215696869653801 -1.46030335219804
"2081" "Ntsc3190" "veg" 0.387504666057642 4.10561885524803
"2082" "Ntsc3190" "sex" 0.29476866580811 5.5156674556033
"2083" "Ntsc3175" "veg" -0.380977395849076 -13.0280046363759
"2084" "Ntsc3175" "sex" -0.592065159722205 -12.2272748241131
"2085" "Ntsc3164" "veg" -0.414616448221111 -2.52808599094459
"2086" "Ntsc3164" "sex" -0.618517457675163 -3.3431755654481
"2087" "Ntsc3163" "veg" 0.140564012392709 1.26438419233592
"2088" "Ntsc3163" "sex" -0.252762152372925 -2.77391483939638
"2089" "Ntsc3174" "veg" -0.281528702675181 -2.07741271252785
"2090" "Ntsc3174" "sex" 0.694217004668501 5.2910219780072
"2091" "Ntsc3173" "veg" -0.130633479931865 -1.16051303422681
"2092" "Ntsc3173" "sex" 0.287480572401439 1.5847411158201
"2093" "Ntsc3182" "veg" -0.420507878832262 -10.257369843277
"2094" "Ntsc3182" "sex" -0.22777178938575 -4.04327992750725
"2095" "Ntsc3162" "veg" 0.29878094457173 4.43281086857283
"2096" "Ntsc3162" "sex" -0.131132919446983 -1.76097443916369
"2097" "Ntsc3172" "veg" 0.0580322482353041 0.866695849638233
"2098" "Ntsc3172" "sex" 0.166589781909807 2.16474729600411
"2099" "Ntsc3181" "veg" -0.0674904498142376 -0.976848541481084
"2100" "Ntsc3181" "sex" 0.213086796363691 2.18567357939404
"2101" "Ntsc3158" "veg" 0.0479924449261002 0.705841012384469
"2102" "Ntsc3158" "sex" 0.792900369023604 14.141725269009
"2103" "Ntsc7826" "veg" -0.364173795009091 -13.9193822586789
"2104" "Ntsc7826" "sex" 0.189712393203577 5.72780919285369
"2105" "Ntsc3161" "veg" -0.150215980699155 -1.31457854757864
"2106" "Ntsc3161" "sex" 0.116712132983485 0.733552193075386
"2107" "Ntsc3160" "veg" 0.241506284163968 3.76866264734057
"2108" "Ntsc3160" "sex" -0.185923935057028 -0.941217368299816
"2109" "Ntsc1185" "veg" 0.372112000924703 4.224566955442
"2110" "Ntsc1185" "sex" 0.401649290050639 4.20602265017471
"2111" "Ntsc3157" "veg" 0.138695791400707 0.871129146683518
"2112" "Ntsc3157" "sex" 0.2199783415181 1.27698539393862
"2113" "Ntsc3155" "veg" -0.196496071072641 -4.43879706993445
"2114" "Ntsc3155" "sex" -0.236055716848622 -1.55313552420617
"2115" "Ntsc3159" "veg" -0.336138553938772 -2.28681650400918
"2116" "Ntsc3159" "sex" -0.236861504673224 -3.75076760330025
"2117" "Ntsc3154" "veg" 0.464113627049417 3.84889777773435
"2118" "Ntsc3154" "sex" 0.105122211088894 0.481024486495852
"2119" "Ntsc3156" "veg" -0.559603398356041 -11.1131547804697
"2120" "Ntsc3156" "sex" 0.643450783067195 6.25847926925411
"2121" "Ntsc3153" "veg" 0.053524486361125 1.07069323492863
"2122" "Ntsc3153" "sex" 0.0679967360170406 0.621676299150455
"2123" "Ntsc3150" "veg" -0.393969388241274 -7.20977454427025
"2124" "Ntsc3150" "sex" 0.157694197048102 3.45903988303318
"2125" "Ntsc3152" "veg" -0.112353293217541 -0.499142686631747
"2126" "Ntsc3152" "sex" 0.362254288752139 1.21039943477658
"2127" "Ntsc1183" "veg" -0.164022717016717 -0.158684272943018
"2128" "Ntsc1183" "sex" -0.28304741910439 -1.40070242199574
"2129" "Ntsc3149" "veg" 0.1512188983267 0.186657252709961
"2130" "Ntsc3149" "sex" -0.279671683468804 -3.57334523991982
"2131" "Ntsc3151" "veg" -0.296475831931364 -1.48411396469348
"2132" "Ntsc3151" "sex" -0.176303518741364 -3.24359732544426
"2133" "Ntsc1184" "veg" -0.270911070559601 -1.91749098138609
"2134" "Ntsc1184" "sex" -0.0565164942564576 -0.779932537203308
"2135" "Ntsc3148" "veg" -0.119204306608343 -0.593937703363824
"2136" "Ntsc3148" "sex" 0.0192510775978892 0.113724994646393
"2137" "Ntsc3147" "veg" 0.357796520648373 2.97110578095626
"2138" "Ntsc3147" "sex" 0.228225186379644 1.89050731830992
"2139" "Ntsc7825" "veg" -0.0312268719005902 -0.516796519291542
"2140" "Ntsc7825" "sex" -0.391935335346551 -1.54604906420597
"2141" "Ntsc3146" "veg" -0.692180612440835 -5.047163907891
"2142" "Ntsc3146" "sex" -0.102534965346192 -2.11596360339181
"2143" "Ntsc7824" "veg" 0.0535571827515071 0.395943321066467
"2144" "Ntsc7824" "sex" -0.079677716327053 -1.34835046442308
"2145" "Ntsc3142" "veg" 0.0332612360592395 0.273196178843236
"2146" "Ntsc3142" "sex" -0.248490603060393 -1.32180887799491
"2147" "Ntsc1182" "veg" -0.615476060060381 -2.7776199839941
"2148" "Ntsc1182" "sex" -0.185294378489956 -1.45952386487194
"2149" "Ntsc1179" "veg" 0.090794843743727 1.53429547958694
"2150" "Ntsc1179" "sex" 0.476748299329611 6.58091555061666
"2151" "Ntsc3144" "veg" -0.413544098363364 -7.71632388945936
"2152" "Ntsc3144" "sex" -0.167645379341228 -2.58750433189134
"2153" "Ntsc3145" "veg" 0.195961593935526 3.9649900350665
"2154" "Ntsc3145" "sex" 0.17422266849502 1.48775073316031
"2155" "Ntsc3143" "veg" -0.519263838306442 -4.00422887372022
"2156" "Ntsc3143" "sex" -0.626231371260571 -6.56750161256578
"2157" "Ntsc1181" "veg" 0.117935550815943 1.74489291121751
"2158" "Ntsc1181" "sex" 0.159099817681076 2.8895087178999
"2159" "Ntsc1178" "veg" -0.232585505016942 -7.27780329196587
"2160" "Ntsc1178" "sex" -0.409808947530702 -19.1551154827069
"2161" "Ntsc1180" "veg" NA NA
"2162" "Ntsc1180" "sex" NA NA
"2163" "Ntsc3141" "veg" -0.178255768186086 -3.44891448956615
"2164" "Ntsc3141" "sex" 0.0560938157886689 1.23183690270291
"2165" "Ntsc1177" "veg" -0.510774069322507 -8.01500512658882
"2166" "Ntsc1177" "sex" -0.261645628248981 -5.99297428147139
"2167" "Ntsc3130" "veg" -0.144007882505076 -3.80191311649878
"2168" "Ntsc3130" "sex" 0.553147351474556 29.3660018348364
"2169" "Ntsc3129" "veg" -0.418820782344514 -2.57959135669339
"2170" "Ntsc3129" "sex" 0.510945205289781 2.67121141265535
"2171" "Ntsc3128" "veg" -0.470601755812762 -8.40996844322674
"2172" "Ntsc3128" "sex" 0.455360764532224 2.93692704449328
"2173" "Ntsc3120" "veg" 0.592415622216953 7.40910300036198
"2174" "Ntsc3120" "sex" -0.524276758044831 -3.07731142468616
"2175" "Ntsc3127" "veg" -0.0523797253149035 -1.12137320970806
"2176" "Ntsc3127" "sex" -0.541727109812053 -5.19087702702738
"2177" "Ntsc3119" "veg" 0.185702328596862 2.79015500280361
"2178" "Ntsc3119" "sex" 0.152224135987404 2.24536539275512
"2179" "Ntsc3126" "veg" 0.574821810189264 4.89620877331137
"2180" "Ntsc3126" "sex" 0.281908207970945 3.43914636898794
"2181" "Ntsc3118" "veg" -0.0882870237882779 -1.92143268841331
"2182" "Ntsc3118" "sex" 0.0803431167586001 0.653073850604202
"2183" "Ntsc3125" "veg" 0.388893433588478 1.58515597573578
"2184" "Ntsc3125" "sex" 0.42623469690847 1.67568639340352
"2185" "Ntsc3117" "veg" 0.35969894754736 1.07906549038155
"2186" "Ntsc3117" "sex" 0.355266279851386 1.05194188364839
"2187" "Ntsc3140" "veg" 0.40160041503332 2.32606246587855
"2188" "Ntsc3140" "sex" 0.229891822419499 0.773350056896235
"2189" "Ntsc3139" "veg" 0.317115917602258 0.0497044019045394
"2190" "Ntsc3139" "sex" -0.103532122960973 -0.0600243620897575
"2191" "Ntsc1174" "veg" -0.203235947950828 -0.146161813691162
"2192" "Ntsc1174" "sex" -0.388286139679247 -9.04820499269866
"2193" "Ntsc3134" "veg" 0.0416742272679599 0.798865712751418
"2194" "Ntsc3134" "sex" 0.303749449863705 7.72348487009474
"2195" "Ntsc3138" "veg" 0.307082660616736 4.13315394652156
"2196" "Ntsc3138" "sex" 0.235322769886977 3.79408792439487
"2197" "Ntsc7822" "veg" -0.306796258520119 -1.00180751211993
"2198" "Ntsc7822" "sex" 0.348833904359218 0.313889520101854
"2199" "Ntsc3116" "veg" 0.135643329300699 1.92150766568013
"2200" "Ntsc3116" "sex" 0.115074951231752 1.80493834876143
"2201" "Ntsc3124" "veg" -0.599092066625627 -25.270956663269
