"Geneid" "Allel" "Tissue" "Value"
"281" "Ntsc3893" "BA" "veg" 0.806235376843391
"282" "Ntsc3893" "BA" "sex" 0.79807196832765
"283" "Ntsc3893" "sa" "veg" 0.711333623961917
"284" "Ntsc3893" "sa" "sex" 0.294636760082955
"285" "Ntsc3892" "BA" "veg" -0.417340982300882
"286" "Ntsc3892" "BA" "sex" -0.507265918880767
"287" "Ntsc3892" "sa" "veg" -0.0241122896773674
"288" "Ntsc3892" "sa" "sex" -0.255124331984508
"289" "Ntsc1425" "BA" "veg" 0.304004348988095
"290" "Ntsc1425" "BA" "sex" -0.660976909308555
"291" "Ntsc1425" "sa" "veg" 0.949445445477971
"292" "Ntsc1425" "sa" "sex" 0.31861595618566
"293" "Ntsc3891" "BA" "veg" 0.277293104739486
"294" "Ntsc3891" "BA" "sex" 0.689989791751418
"295" "Ntsc3891" "sa" "veg" 0.899527967621897
"296" "Ntsc3891" "sa" "sex" 0.447347408430043
"297" "Ntsc1424" "BA" "veg" -0.0166971998958289
"298" "Ntsc1424" "BA" "sex" 0.0412746766629785
"299" "Ntsc1424" "sa" "veg" -0.745982249792779
"300" "Ntsc1424" "sa" "sex" -0.36755356303708
"301" "Ntsc3890" "BA" "veg" -0.0436020720196931
"302" "Ntsc3890" "BA" "sex" -0.5173669000588
"303" "Ntsc3890" "sa" "veg" -0.201515401799467
"304" "Ntsc3890" "sa" "sex" -0.422193640443834
"305" "Ntsc3888" "BA" "veg" 0.0473210031559395
"306" "Ntsc3888" "BA" "sex" 0.0573502677842903
"307" "Ntsc3888" "sa" "veg" 0.757674957570227
"308" "Ntsc3888" "sa" "sex" 0.120153068219011
"309" "Ntsc3887" "BA" "veg" 0.514272461279493
"310" "Ntsc3887" "BA" "sex" -0.712324650392653
"311" "Ntsc3887" "sa" "veg" 0.345270539731401
"312" "Ntsc3887" "sa" "sex" 0.445360134208516
"313" "Ntsc3889" "BA" "veg" 0.53932725271976
"314" "Ntsc3889" "BA" "sex" -0.604648300085366
"315" "Ntsc3889" "sa" "veg" 0.196611823811849
"316" "Ntsc3889" "sa" "sex" -0.0718168164874997
"317" "Ntsc3877" "BA" "veg" 0.414918129348972
"318" "Ntsc3877" "BA" "sex" 0.781032968568479
"319" "Ntsc3877" "sa" "veg" -0.0579905687231239
"320" "Ntsc3877" "sa" "sex" 0.830902147119927
"321" "Ntsc3874" "BA" "veg" 0.774259404734224
"322" "Ntsc3874" "BA" "sex" 0.161715509549613
"323" "Ntsc3874" "sa" "veg" -0.264669739139749
"324" "Ntsc3874" "sa" "sex" -0.754965988019863
"325" "Ntsc3883" "BA" "veg" 0.640979262494451
"326" "Ntsc3883" "BA" "sex" 0.619293359896969
"327" "Ntsc3883" "sa" "veg" -0.281706277633945
"328" "Ntsc3883" "sa" "sex" -0.585013906206637
"329" "Ntsc1423" "BA" "veg" -0.934304881555962
"330" "Ntsc1423" "BA" "sex" 0.268906818175719
"331" "Ntsc1423" "sa" "veg" -0.0916898032405248
"332" "Ntsc1423" "sa" "sex" 0.0550605677839763
"333" "Ntsc3881" "BA" "veg" 0.722079855775661
"334" "Ntsc3881" "BA" "sex" 0.123509013179804
"335" "Ntsc3881" "sa" "veg" -0.84520700926479
"336" "Ntsc3881" "sa" "sex" 0.401466282239389
"337" "Ntsc3880" "BA" "veg" -0.120552262682802
"338" "Ntsc3880" "BA" "sex" 0.146681230065022
"339" "Ntsc3880" "sa" "veg" -0.193920364468381
"340" "Ntsc3880" "sa" "sex" 0.739816182900591
"341" "Ntsc3882" "BA" "veg" -0.576099944392877
"342" "Ntsc3882" "BA" "sex" 0.228123051873902
"343" "Ntsc3882" "sa" "veg" -0.157109277836852
"344" "Ntsc3882" "sa" "sex" -0.104545182413495
"345" "Ntsc1421" "BA" "veg" 0.269536464018679
"346" "Ntsc1421" "BA" "sex" -0.234616083067003
"347" "Ntsc1421" "sa" "veg" 0.521579511027045
"348" "Ntsc1421" "sa" "sex" -0.784612551707997
"349" "Ntsc1422" "BA" "veg" -0.2417529303857
"350" "Ntsc1422" "BA" "sex" 0.737781994475897
"351" "Ntsc1422" "sa" "veg" 0.499756649688682
"352" "Ntsc1422" "sa" "sex" 0.912437710726531
"353" "Ntsc3879" "BA" "veg" -0.51597397061139
"354" "Ntsc3879" "BA" "sex" -0.0323320840336167
"355" "Ntsc3879" "sa" "veg" -0.453025230874494
"356" "Ntsc3879" "sa" "sex" 0.676908264916284
"357" "Ntsc3873" "BA" "veg" -0.831831808765179
"358" "Ntsc3873" "BA" "sex" 0.392032865764255
"359" "Ntsc3873" "sa" "veg" -0.826875495511465
"360" "Ntsc3873" "sa" "sex" 0.37976012501013
