Geneid	crassa_BA_sex	crassa_BA_veg	crassa_sa_sex	crassa_sa_veg	L1_BA_sex	L1_BA_veg	L1_sa_sex	L1_sa_veg	L10_BA_sex	L10_BA_veg	L10_sa_sex	L10_sa_veg	L6_BA_sex	L6_BA_veg	L6_sa_sex	L6_sa_veg	sito_BA_sex	sito_BA_veg	sito_sa_sex	sito_sa_veg
Ntsc3908	0.293650793650794	0.19047619047619	0.23015873015873	0.222222222222222	0.206349206349206	0.206349206349206	0.166666666666667	0.170634920634921	0.218253968253968	0.206349206349206	0.218253968253968	0.226190476190476	0.166666666666667	0.202380952380952	0.253968253968254	0.178571428571429	0.261904761904762	0.198412698412698	0.257936507936508	0.238095238095238
Ntsc3929	0.28673835125448	0.243727598566308	0.279569892473118	0.243727598566308	0.21505376344086	0.218637992831541	0.182795698924731	0.200716845878136	0.232974910394265	0.21505376344086	0.243727598566308	0.207885304659498	0.197132616487455	0.222222222222222	0.207885304659498	0.150537634408602	0.283154121863799	0.225806451612903	0.293906810035842	0.25089605734767
Ntsc3918	0.293650793650794	0.214285714285714	0.26984126984127	0.238095238095238	0.246031746031746	0.23015873015873	0.174603174603175	0.261904761904762	0.222222222222222	0.246031746031746	0.293650793650794	0.214285714285714	0.142857142857143	0.198412698412698	0.26984126984127	0.174603174603175	0.26984126984127	0.222222222222222	0.333333333333333	0.30952380952381
Ntsc3917	0.219895287958115	0.267015706806283	0.282722513089005	0.235602094240838	0.167539267015707	0.172774869109948	0.193717277486911	0.136125654450262	0.193717277486911	0.282722513089005	0.272251308900524	0.204188481675393	0.172774869109948	0.178010471204188	0.209424083769634	0.198952879581152	0.172774869109948	0.267015706806283	0.267015706806283	0.240837696335079
Ntsc1438	0.277777777777778	0.347222222222222	0.25	0.263888888888889	0.125	0.111111111111111	0.194444444444444	0.166666666666667	0.180555555555556	0.166666666666667	0.180555555555556	0.208333333333333	0.208333333333333	0.222222222222222	0.277777777777778	0.208333333333333	0.291666666666667	0.263888888888889	0.291666666666667	0.208333333333333
Ntsc1437	0.213592233009709	0.174757281553398	0.233009708737864	0.203883495145631	0.174757281553398	0.174757281553398	0.16504854368932	0.135922330097087	0.233009708737864	0.16504854368932	0.155339805825243	0.233009708737864	0.145631067961165	0.12621359223301	0.194174757281553	0.242718446601942	0.194174757281553	0.184466019417476	0.213592233009709	0.213592233009709
Ntsc3928	0.232067510548523	0.189873417721519	0.227848101265823	0.210970464135021	0.156118143459916	0.20253164556962	0.19831223628692	0.181434599156118	0.185654008438819	0.194092827004219	0.227848101265823	0.20253164556962	0.143459915611814	0.156118143459916	0.181434599156118	0.194092827004219	0.172995780590717	0.168776371308017	0.270042194092827	0.194092827004219
Ntsc3916	0.206896551724138	0.224137931034483	0.310344827586207	0.172413793103448	0.189655172413793	0.172413793103448	0.206896551724138	0.241379310344828	0.224137931034483	0.137931034482759	0.137931034482759	0.224137931034483	0.155172413793103	0.155172413793103	0.258620689655172	0.137931034482759	0.206896551724138	0.275862068965517	0.172413793103448	0.137931034482759
Ntsc1440	0.204347826086957	0.239130434782609	0.278260869565217	0.221739130434783	0.208695652173913	0.195652173913043	0.165217391304348	0.165217391304348	0.260869565217391	0.226086956521739	0.252173913043478	0.252173913043478	0.204347826086957	0.178260869565217	0.173913043478261	0.2	0.226086956521739	0.256521739130435	0.269565217391304	0.239130434782609
Ntsc3927	0.254237288135593	0.203389830508475	0.254237288135593	0.23728813559322	0.101694915254237	0.135593220338983	0.152542372881356	0.135593220338983	0.203389830508475	0.203389830508475	0.23728813559322	0.152542372881356	0.0847457627118644	0.152542372881356	0.203389830508475	0.101694915254237	0.220338983050847	0.203389830508475	0.186440677966102	0.152542372881356
Ntsc3935	0.333333333333333	0.333333333333333	0.333333333333333	0.166666666666667	0	0	0.166666666666667	0.5	0.5	0.333333333333333	0.5	0.666666666666667	0.333333333333333	0.333333333333333	0.833333333333333	0	0.166666666666667	0.333333333333333	0.333333333333333	0.166666666666667
Ntsc3926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ntsc1436	0.25390625	0.23046875	0.31640625	0.25	0.23046875	0.2265625	0.20703125	0.1875	0.2421875	0.21484375	0.26171875	0.21875	0.2265625	0.1875	0.23046875	0.19140625	0.26953125	0.265625	0.32421875	0.29296875
Ntsc7887	0.216216216216216	0.216216216216216	0.243243243243243	0.243243243243243	0.297297297297297	0.189189189189189	0.216216216216216	0.297297297297297	0.405405405405405	0.243243243243243	0.27027027027027	0.189189189189189	0.27027027027027	0.243243243243243	0.27027027027027	0.216216216216216	0.162162162162162	0.351351351351351	0.216216216216216	0.216216216216216
Ntsc3934	0.375	0.375	0.25	0.375	0.125	0.125	0	0.125	0.25	0.125	0.375	0.25	0.25	0.25	0.25	0.25	0.25	0.125	0.5	0.375
Ntsc3925	0.210526315789474	0.210526315789474	0.184210526315789	0.236842105263158	0.105263157894737	0.157894736842105	0.157894736842105	0.131578947368421	0.131578947368421	0.236842105263158	0.210526315789474	0.263157894736842	0.157894736842105	0.0789473684210526	0.157894736842105	0.105263157894737	0.105263157894737	0.236842105263158	0.289473684210526	0.157894736842105
Ntsc3933	0.204918032786885	0.213114754098361	0.262295081967213	0.19672131147541	0.213114754098361	0.221311475409836	0.163934426229508	0.213114754098361	0.188524590163934	0.19672131147541	0.262295081967213	0.213114754098361	0.237704918032787	0.204918032786885	0.245901639344262	0.229508196721311	0.254098360655738	0.245901639344262	0.278688524590164	0.213114754098361
Ntsc7886	0.25	0.4	0.2	0.2	0.1	0.1	0.1	0.2	0.3	0.1	0.25	0.1	0.15	0.15	0.15	0.1	0.35	0.25	0.2	0.2
Ntsc3924	0.217647058823529	0.217647058823529	0.241176470588235	0.176470588235294	0.158823529411765	0.170588235294118	0.158823529411765	0.152941176470588	0.223529411764706	0.194117647058824	0.170588235294118	0.194117647058824	0.2	0.141176470588235	0.235294117647059	0.164705882352941	0.205882352941176	0.2	0.247058823529412	0.2
Ntsc1447	0.176470588235294	0.0588235294117647	0.235294117647059	0.235294117647059	0.235294117647059	0.0588235294117647	0.176470588235294	0	0.235294117647059	0.117647058823529	0.235294117647059	0.235294117647059	0.0588235294117647	0.176470588235294	0.176470588235294	0.117647058823529	0	0.235294117647059	0	0.176470588235294
Ntsc1439	0.154639175257732	0.206185567010309	0.195876288659794	0.268041237113402	0.144329896907216	0.134020618556701	0.185567010309278	0.164948453608247	0.144329896907216	0.22680412371134	0.206185567010309	0.216494845360825	0.144329896907216	0.175257731958763	0.123711340206186	0.123711340206186	0.175257731958763	0.185567010309278	0.185567010309278	0.185567010309278
Ntsc3923	0.213333333333333	0.213333333333333	0.333333333333333	0.186666666666667	0.24	0.133333333333333	0.12	0.24	0.16	0.213333333333333	0.2	0.16	0.16	0.12	0.2	0.2	0.253333333333333	0.12	0.306666666666667	0.146666666666667
Ntsc3907	0.266129032258065	0.201612903225806	0.266129032258065	0.193548387096774	0.209677419354839	0.185483870967742	0.161290322580645	0.145161290322581	0.266129032258065	0.266129032258065	0.298387096774194	0.225806451612903	0.209677419354839	0.169354838709677	0.161290322580645	0.185483870967742	0.225806451612903	0.201612903225806	0.266129032258065	0.209677419354839
Ntsc3915	0.203883495145631	0.174757281553398	0.223300970873786	0.223300970873786	0.242718446601942	0.242718446601942	0.184466019417476	0.174757281553398	0.184466019417476	0.262135922330097	0.223300970873786	0.203883495145631	0.194174757281553	0.184466019417476	0.242718446601942	0.213592233009709	0.242718446601942	0.223300970873786	0.252427184466019	0.223300970873786
Ntsc3914	0.271929824561404	0.263157894736842	0.245614035087719	0.271929824561404	0.219298245614035	0.289473684210526	0.192982456140351	0.192982456140351	0.342105263157895	0.298245614035088	0.271929824561404	0.315789473684211	0.210526315789474	0.254385964912281	0.271929824561404	0.263157894736842	0.219298245614035	0.263157894736842	0.245614035087719	0.210526315789474
Ntsc3906	0.2	0.210526315789474	0.189473684210526	0.263157894736842	0.189473684210526	0.157894736842105	0.147368421052632	0.168421052631579	0.210526315789474	0.2	0.178947368421053	0.221052631578947	0.147368421052632	0.221052631578947	0.147368421052632	0.221052631578947	0.263157894736842	0.221052631578947	0.273684210526316	0.178947368421053
Ntsc7885	0.30952380952381	0.277777777777778	0.30952380952381	0.222222222222222	0.214285714285714	0.182539682539683	0.174603174603175	0.166666666666667	0.19047619047619	0.206349206349206	0.214285714285714	0.174603174603175	0.166666666666667	0.142857142857143	0.198412698412698	0.150793650793651	0.238095238095238	0.206349206349206	0.285714285714286	0.206349206349206
Ntsc1435	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ntsc7884	0.262626262626263	0.242424242424242	0.242424242424242	0.242424242424242	0.181818181818182	0.161616161616162	0.202020202020202	0.171717171717172	0.191919191919192	0.181818181818182	0.171717171717172	0.202020202020202	0.181818181818182	0.141414141414141	0.151515151515152	0.151515151515152	0.171717171717172	0.141414141414141	0.171717171717172	0.191919191919192
Ntsc7889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ntsc3905	0.28808864265928	0.246537396121884	0.257617728531856	0.235457063711911	0.191135734072022	0.171745152354571	0.18005540166205	0.204986149584488	0.21606648199446	0.202216066481994	0.191135734072022	0.221606648199446	0.177285318559557	0.174515235457064	0.224376731301939	0.166204986149584	0.260387811634349	0.238227146814404	0.279778393351801	0.238227146814404
Ntsc3913	0.351111111111111	0.248888888888889	0.297777777777778	0.28	0.217777777777778	0.182222222222222	0.195555555555556	0.217777777777778	0.262222222222222	0.191111111111111	0.222222222222222	0.222222222222222	0.195555555555556	0.204444444444444	0.226666666666667	0.204444444444444	0.284444444444444	0.231111111111111	0.333333333333333	0.24
