"Geneid" "Allel" "Tissue" "Value"
"162" "Ntsc3905" "BA" "sex" 0.6
"163" "Ntsc3905" "sa" "veg" -0.6
"164" "Ntsc3905" "sa" "sex" -0.1
"165" "Ntsc3913" "BA" "veg" 0.3
"166" "Ntsc3913" "BA" "sex" 0.5
"167" "Ntsc3913" "sa" "veg" 0.5
"168" "Ntsc3913" "sa" "sex" -0.205195670417031
"169" "Ntsc3912" "BA" "veg" -0.461690258438319
"170" "Ntsc3912" "BA" "sex" 0.4
"171" "Ntsc3912" "sa" "veg" 0
"172" "Ntsc3912" "sa" "sex" 0.3
"173" "Ntsc3932" "BA" "veg" -0.1
"174" "Ntsc3932" "BA" "sex" -0.3
"175" "Ntsc3932" "sa" "veg" -0.102597835208515
"176" "Ntsc3932" "sa" "sex" -0.368932393686311
"177" "Ntsc3904" "BA" "veg" -0.5
"178" "Ntsc3904" "BA" "sex" -0.670820393249937
"179" "Ntsc3904" "sa" "veg" -0.8
"180" "Ntsc3904" "sa" "sex" 0.1
"181" "Ntsc1446" "BA" "veg" -0.2
"182" "Ntsc1446" "BA" "sex" 0
"183" "Ntsc1446" "sa" "veg" 0.102597835208515
"184" "Ntsc1446" "sa" "sex" -0.9
"185" "Ntsc1445" "BA" "veg" NA
"186" "Ntsc1445" "BA" "sex" 0.362738125055006
"187" "Ntsc1445" "sa" "veg" 0
"188" "Ntsc1445" "sa" "sex" 0.544107187582509
"189" "Ntsc3903" "BA" "veg" -0.872081599272381
"190" "Ntsc3903" "BA" "sex" 0.1
"191" "Ntsc3903" "sa" "veg" -0.359092423229804
"192" "Ntsc3903" "sa" "sex" 0.66688592885535
"193" "Ntsc3902" "BA" "veg" 0.5
"194" "Ntsc3902" "BA" "sex" 0.9
"195" "Ntsc3902" "sa" "veg" 0.615587011251092
"196" "Ntsc3902" "sa" "sex" 0.9
"197" "Ntsc7888" "BA" "veg" -0.7
"198" "Ntsc7888" "BA" "sex" 0.2
"199" "Ntsc7888" "sa" "veg" -0.1
"200" "Ntsc7888" "sa" "sex" -0.3
"201" "Ntsc3901" "BA" "veg" -0.205195670417031
"202" "Ntsc3901" "BA" "sex" -0.9
"203" "Ntsc3901" "sa" "veg" 0.564288093646835
"204" "Ntsc3901" "sa" "sex" -0.1
"205" "Ntsc1444" "BA" "veg" 0.872081599272381
"206" "Ntsc1444" "BA" "sex" -0.790569415042095
