"Geneid" "Allel" "Tissue" "Value"
"248" "Ntsc3896" "sa" "sex" 0.265828531241847
"249" "Ntsc1428" "BA" "veg" -0.256567071338661
"250" "Ntsc1428" "BA" "sex" 0.392409637962682
"251" "Ntsc1428" "sa" "veg" 0.0302584838075072
"252" "Ntsc1428" "sa" "sex" -0.223415035749186
"253" "Ntsc1431" "BA" "veg" 0.225388212818666
"254" "Ntsc1431" "BA" "sex" 0.185743607437039
"255" "Ntsc1431" "sa" "veg" 0.678420041583957
"256" "Ntsc1431" "sa" "sex" -0.113268467496034
"257" "Ntsc1430" "BA" "veg" 0.690716861600864
"258" "Ntsc1430" "BA" "sex" 0.690816531935191
"259" "Ntsc1430" "sa" "veg" 0.132694432525136
"260" "Ntsc1430" "sa" "sex" 0.938896878036855
"261" "Ntsc1429" "BA" "veg" -0.41877640614899
"262" "Ntsc1429" "BA" "sex" 0.440958967500065
"263" "Ntsc1429" "sa" "veg" -0.787737342172537
"264" "Ntsc1429" "sa" "sex" 0.151796697678181
"265" "Ntsc3895" "BA" "veg" -0.327107146401943
"266" "Ntsc3895" "BA" "sex" -0.515441132097233
"267" "Ntsc3895" "sa" "veg" -0.388725841704758
"268" "Ntsc3895" "sa" "sex" -0.243651715748448
"269" "Ntsc1426" "BA" "veg" NA
"270" "Ntsc1426" "BA" "sex" 0.178649254703338
"271" "Ntsc1426" "sa" "veg" -0.78899230273276
"272" "Ntsc1426" "sa" "sex" -0.40607755363359
"273" "Ntsc1427" "BA" "veg" 0.457626688038734
"274" "Ntsc1427" "BA" "sex" -0.486496270254203
"275" "Ntsc1427" "sa" "veg" -0.187680508319954
"276" "Ntsc1427" "sa" "sex" -0.654498056470674
"277" "Ntsc3894" "BA" "veg" -0.0532042951561306
"278" "Ntsc3894" "BA" "sex" -0.113829125696061
"279" "Ntsc3894" "sa" "veg" -0.672408214082391
"280" "Ntsc3894" "sa" "sex" -0.216712177895914
"281" "Ntsc3893" "BA" "veg" 0.693088452781619
"282" "Ntsc3893" "BA" "sex" 0.691664380072886
"283" "Ntsc3893" "sa" "veg" 0.502320373676273
"284" "Ntsc3893" "sa" "sex" 0.0254314586604444
"285" "Ntsc3892" "BA" "veg" -0.528057066650129
"286" "Ntsc3892" "BA" "sex" -0.43500752928868
"287" "Ntsc3892" "sa" "veg" 0.00313184834284084
"288" "Ntsc3892" "sa" "sex" -0.35326484518326
"289" "Ntsc1425" "BA" "veg" 0.1943011403211
"290" "Ntsc1425" "BA" "sex" -0.609239485701677
"291" "Ntsc1425" "sa" "veg" 0.91098703965398
"292" "Ntsc1425" "sa" "sex" 0.324717032444075
"293" "Ntsc3891" "BA" "veg" 0.403074444711216
"294" "Ntsc3891" "BA" "sex" 0.393192588105797
"295" "Ntsc3891" "sa" "veg" 0.883469493350492
"296" "Ntsc3891" "sa" "sex" 0.178800137564219
"297" "Ntsc1424" "BA" "veg" -0.132437268779746
"298" "Ntsc1424" "BA" "sex" -0.0406996653440387
"299" "Ntsc1424" "sa" "veg" -0.00501856658579251
"300" "Ntsc1424" "sa" "sex" -0.300499293318394
